
== applause 105.7 -> human start 107.4 (gap 1.8s) ==
       t     lufs      rms  onsets/s  beats/s
    85.7   -45.15   -46.94      8.50     0.00
    90.7   -42.60   -44.35      9.47     0.00
    95.7   -42.18   -45.85      9.30     0.00
   100.7   -27.81   -30.39     11.60     0.00
   105.7   -20.13   -22.78      8.13     0.20 <-- human start
   110.7   -19.55   -22.10      8.23     1.80
   115.7   -19.55   -22.08      8.17     2.40
   120.7   -20.99   -23.48      7.93     3.40
   125.7   -20.72   -23.08      9.40     3.60
   130.7   -21.54   -23.98     10.33     3.40
   135.7   -25.26   -27.85      9.07     3.60
   140.7   -22.79   -25.47      8.60     3.40
   145.7   -24.82   -27.23      8.63     3.20

== applause 1307.3 -> human start 1373.9 (gap 66.5s) ==
       t     lufs      rms  onsets/s  beats/s
  1287.3   -30.03   -32.91      8.73     0.00
  1292.3   -32.17   -34.91      9.83     0.00
  1297.3   -31.18   -34.14      9.20     0.00
  1302.3   -30.94   -34.45     11.00     0.00
  1307.3   -41.75   -44.72      8.73     0.00
  1312.3   -41.19   -43.54      7.23     0.00
  1317.3   -40.67   -42.98      7.90     0.00
  1322.3   -35.20   -37.74      7.60     0.00
  1327.3   -33.80   -36.16      8.13     0.00
  1332.3   -35.79   -38.31      8.03     0.00
  1337.3   -36.90   -39.17      6.80     0.00
  1342.3   -37.45   -39.70      7.37     0.00
  1347.3   -38.02   -39.98      9.17     0.00
  1352.3   -36.10   -38.16      7.67     0.00
  1357.3   -37.96   -40.08      7.97     0.00
  1362.3   -55.90   -57.48      7.63     0.00
  1367.3   -54.59   -56.87      7.63     0.20
  1372.3   -17.35   -20.02      8.27     1.40 <-- human start
  1377.3   -17.87   -20.57      8.80     2.20
  1382.3   -16.80   -19.38      8.20     2.20
  1387.3   -14.24   -16.70      9.57     2.40
  1392.3   -14.80   -17.26      9.47     2.60
  1397.3   -15.38   -18.20      9.00     3.00
  1402.3   -17.25   -20.01      7.43     3.40
  1407.3   -24.84   -27.44      6.53     4.20
  1412.3   -23.74   -26.15      8.33     4.00

== applause 1905.3 -> human start 1920.1 (gap 14.8s) ==
       t     lufs      rms  onsets/s  beats/s
  1885.3   -12.18   -15.30      9.30     2.20
  1890.3   -12.76   -15.60      4.77     1.40
  1895.3   -14.14   -16.69      5.70     0.00
  1900.3   -17.36   -19.45      5.67     0.20
  1905.3   -39.67   -42.62      5.80     0.00
  1910.3   -42.98   -45.70      7.40     0.20
  1915.3   -15.10   -18.00      7.40     0.00 <-- human start
  1920.3   -14.49   -17.40      6.23     0.80
  1925.3   -15.46   -18.58      7.13     0.80
  1930.3   -16.54   -19.61      5.63     1.60
  1935.3   -15.06   -18.29      7.83     0.00
  1940.3   -15.37   -18.66      7.80     0.00
  1945.3   -17.41   -20.28      9.63     0.00
  1950.3   -15.73   -18.72     11.30     0.20
  1955.3   -15.82   -19.01      9.00     0.00

== applause 2675.5 -> human start 2725.0 (gap 49.5s) ==
       t     lufs      rms  onsets/s  beats/s
  2655.5   -11.60   -14.05      9.70     0.20
  2660.5   -14.71   -17.08      9.07     0.00
  2665.5   -28.28   -30.64      9.27     0.00
  2670.5   -36.91   -39.41     10.90     0.00
  2675.5   -37.62   -40.14      8.97     0.00
  2680.5   -37.58   -40.16      8.97     0.00
  2685.5   -41.46   -43.33      7.40     0.00
  2690.5   -39.12   -40.77      7.30     0.00
  2695.5   -39.41   -41.37      7.37     0.00
  2700.5   -43.13   -45.17      7.50     0.00
  2705.5   -40.89   -42.88     10.43     0.00
  2710.5   -50.95   -53.03      8.30     0.00
  2715.5   -54.02   -55.62      9.37     0.00
  2720.5   -15.26   -17.92      8.30     0.60 <-- human start
  2725.5   -14.13   -16.87      5.97     1.40
  2730.5   -13.36   -16.71      8.97     1.60
  2735.5   -13.59   -16.99      7.33     2.00
  2740.5   -13.73   -17.10      5.87     2.00
  2745.5   -12.38   -15.62      8.20     2.40
  2750.5   -12.16   -15.06      8.43     2.00
  2755.5   -14.07   -16.83      9.00     2.40
  2760.5   -19.92   -21.98     10.73     2.20

== applause 3512.9 -> human start 3568.5 (gap 55.6s) ==
       t     lufs      rms  onsets/s  beats/s
  3492.9   -12.35   -15.08      9.67     2.20
  3497.9   -11.29   -14.29      9.03     1.60
  3502.9   -31.78   -34.82     12.97     0.00
  3507.9   -32.46   -35.11     12.63     0.00
  3512.9   -30.94   -33.83     11.57     0.00
  3517.9   -29.98   -33.03      9.40     0.00
  3522.9   -33.87   -37.39     11.03     0.00
  3527.9   -41.84   -43.95      7.67     0.00
  3532.9   -42.23   -44.40      6.67     0.00
  3537.9   -41.23   -43.60      6.97     0.00
  3542.9   -40.06   -42.58      7.23     0.00
  3547.9   -37.11   -40.21      6.83     0.00
  3552.9   -39.66   -42.44      9.20     0.00
  3557.9   -42.59   -44.20      9.17     0.00
  3562.9   -47.31   -49.40      6.20     0.00
  3567.9   -12.70   -16.11      7.20     0.60 <-- human start
  3572.9   -11.88   -15.10      8.17     1.80
  3577.9   -12.53   -15.77      9.30     1.60
  3582.9   -12.35   -15.40      8.00     1.80
  3587.9   -11.60   -14.98      6.83     2.00
  3592.9   -11.56   -14.65      9.10     1.60
  3597.9   -12.76   -16.12      9.27     2.80
  3602.9   -15.79   -18.46      5.40     2.80
  3607.9   -25.23   -28.28      6.77     3.20
